REGIAO,FAIXA_ETARIA,Febre_Missing,Febre_No,Febre_Yes,Tosse_Missing,Tosse_No,Tosse_Yes,Garganta_Missing,Garganta_No,Garganta_Yes
Norte,0 a 6 meses,6.43699002719855,17.588395285584767,75.97461468721669,3.0825022665457844,6.527651858567543,90.38984587488667,25.7479601087942,63.28195829555757,10.970081595648232
Norte,1 a 4 anos,1.6304347826086956,6.521739130434782,91.84782608695652,2.1739130434782608,3.260869565217391,94.56521739130434,21.195652173913043,48.91304347826087,29.891304347826086
Norte,4 a 6 anos,5.405405405405405,5.405405405405405,89.1891891891892,2.7027027027027026,5.405405405405405,91.8918918918919,24.324324324324326,40.54054054054054,35.13513513513514
Norte,6 a 9 anos,8.695652173913043,4.3478260869565215,86.95652173913044,4.3478260869565215,17.391304347826086,78.26086956521739,30.434782608695656,39.130434782608695,30.434782608695656
Norte,6 meses a 1 ano,2.6981450252951094,6.239460370994941,91.06239460370995,2.6981450252951094,2.866779089376054,94.43507588532883,21.922428330522767,57.84148397976391,20.236087689713322
Norte,60 a 70 anos,18.75,25.0,56.25,12.5,6.25,81.25,37.5,43.75,18.75
Norte,70 a 80 anos,27.27272727272727,9.090909090909092,63.63636363636363,9.090909090909092,18.181818181818183,72.72727272727273,27.27272727272727,45.45454545454545,27.27272727272727
Norte,80 anos ou mais,12.5,12.5,75.0,0.0,12.5,87.5,25.0,43.75,31.25
Norte,9 a 12 anos,0.0,11.11111111111111,88.88888888888889,0.0,11.11111111111111,88.88888888888889,11.11111111111111,55.55555555555556,33.33333333333333
Sudeste,0 a 6 meses,14.655386912167206,35.48146305051007,49.86315003732272,4.014265571866965,6.228746786099362,89.75698764203366,33.134278842166374,64.13701584141992,2.7287053164137016
Sudeste,1 a 4 anos,6.762389995368226,12.598425196850393,80.63918480778139,4.400185270958777,6.021306160259379,89.57850856878184,36.68364983788791,56.87818434460399,6.438165817508105
Sudeste,4 a 6 anos,8.366533864541832,22.31075697211155,69.32270916334662,3.9840637450199203,9.56175298804781,86.45418326693228,31.47410358565737,60.1593625498008,8.366533864541832
Sudeste,6 a 9 anos,12.162162162162163,16.89189189189189,70.94594594594594,5.405405405405405,10.81081081081081,83.78378378378379,33.108108108108105,54.729729729729726,12.162162162162163
Sudeste,6 meses a 1 ano,8.060597398885236,14.992139488352151,76.94726311276261,3.615835358010576,5.502358153494355,90.88180648849506,34.82921251965128,61.65499499785623,3.515792482492497
